temperature,pressure,vibration,current,voltage,operating_hours,failure
48.18,5.45,0.59,13.26,391.77,3491,0
72.04,5.98,2.58,11.88,396.16,252,0
91.29,5.02,2.81,11.52,401.26,1704,1
53.11,5.31,3.71,12.9,434.04,2167,0
58.2,5.49,-1.08,12.53,380.62,1926,0
66.2,5.6,3.25,11.48,401.31,346,0
58.96,5.57,1.28,8.88,395.19,1470,0
46.39,5.81,3.49,11.06,394.94,3647,0
65.82,6.09,1.45,9.71,406.61,1791,0
52.25,5.77,1.72,10.67,373.71,2250,0
70.68,5.82,2.59,12.07,372.52,2744,0
53.97,4.39,1.42,12.72,384.8,3490,0
83.6,5.54,2.29,15.56,377.26,2498,0
55.6,5.84,1.21,10.93,384.78,2381,0
61.14,6.01,0.25,13.55,403.44,1770,0
74.76,5.02,4.53,12.61,372.83,136,0
50.23,5.04,1.06,14.59,375.43,3516,0
67.73,5.1,2.73,13.15,382.61,1727,0
80.69,5.88,4.13,9.98,376.58,2439,0
45.71,6.22,2.08,8.55,351.29,1471,0
67.22,5.21,1.76,12.62,371.3,776,0
68.12,6.14,3.34,10.94,390.31,352,0
74.38,5.59,4.68,10.04,401.56,2964,0
50.16,5.41,1.25,9.46,362.68,1716,0
49.15,5.35,2.77,12.32,362.61,2116,0
71.26,6.02,0.4,15.02,380.45,2331,0
68.56,5.73,2.41,11.18,348.87,860,0
68.01,7.09,3.05,13.18,373.33,3386,1
69.16,4.9,1.72,11.8,353.96,492,0
56.84,5.86,2.31,9.42,400.54,3191,0
67.79,5.13,0.89,13.47,368.46,3642,0
68.52,4.89,3.12,9.81,404.79,530,0
56.43,5.49,4.58,12.04,396.7,3830,0
87.39,5.6,1.35,11.32,370.31,1096,1
70.69,7.54,2.07,13.79,363.92,1191,1
50.7,5.37,3.75,9.88,377.1,1200,0
72.88,4.71,4.82,12.78,378.43,201,0
53.3,5.69,0.76,10.32,385.19,2799,0
74.45,4.05,2.75,10.98,368.35,992,0
78.9,5.44,3.42,4.73,391.2,2360,0
55.15,5.51,2.85,16.18,383.98,1888,0
76.56,6.06,-0.72,13.1,374.89,2280,0
69.95,6.18,3.75,10.47,369.32,3196,0
74.86,5.15,5.28,9.75,377.23,4667,1
87.76,5.39,3.17,11.01,367.75,3784,1
62.06,4.96,1.45,13.43,380.88,1880,0
55.96,4.71,2.23,8.22,381.28,3714,0
54.33,5.72,5.65,11.72,383.93,4113,1
55.21,4.61,4.36,15.54,406.49,1379,0
64.07,5.21,3.96,9.73,378.01,4108,1
69.09,4.8,3.53,12.16,395.07,3386,0
68.32,5.88,2.01,16.41,383.44,2781,0
74.93,6.76,2.7,13.26,376.43,4617,1
65.16,4.59,2.88,12.25,378.21,2728,0
82.44,4.2,3.82,13.01,379.12,638,0
61.82,5.41,5.26,11.2,384.2,1880,0
97.64,5.51,4.68,14.6,365.61,3626,1
72.51,5.65,0.87,11.2,358.02,2448,0
54.71,5.19,3.34,8.08,389.81,2060,0
52.15,5.36,4.11,11.22,393.47,3191,0
70.79,5.76,3.93,10.07,391.18,3662,0
62.32,6.23,2.06,11.44,382.32,2404,0
73.57,4.13,7.37,11.48,391.51,2600,1
70.68,5.24,1.08,14.39,390.7,2585,0
64.13,5.65,1.38,13.39,391.81,2545,0
54.84,4.86,3.35,12.53,367.11,748,0
46.82,6.71,6.18,11.99,363.55,2369,1
59.64,5.06,1.75,9.88,374.17,3915,0
75.28,5.47,2.6,7.64,379.74,1651,0
67.57,5.89,4.62,12.23,376.37,4821,1
50.05,5.09,2.97,13.59,351.85,4971,1
67.08,4.21,2.5,11.78,405.83,1402,0
69.62,5.2,3.85,10.93,375.89,2732,0
54.39,6.22,3.41,12.93,382.59,2632,0
66.84,5.26,4.55,11.83,398.67,1368,0
65.7,4.91,4.94,15.37,344.83,1873,0
51.28,6.15,3.46,14.47,372.32,3189,0
69.29,5.27,3.44,13.92,374.19,3727,0
71.73,5.14,3.32,13.52,374.96,1266,0
78.0,5.6,3.73,9.42,377.4,2648,0
77.65,6.04,3.08,13.33,401.71,1650,0
48.47,7.17,3.0,12.75,390.1,2240,1
53.75,6.08,4.79,13.21,394.37,3620,0
71.18,6.31,5.27,12.99,380.71,3754,0
71.17,5.15,0.74,12.91,359.01,720,0
71.18,4.78,3.02,17.4,348.8,2623,0
111.23,5.54,1.97,11.85,357.06,4867,1
71.85,5.58,2.53,13.87,385.4,4996,1
78.63,4.75,3.6,11.06,380.48,270,0
76.45,5.38,4.0,13.58,376.85,2519,0
72.82,5.78,2.83,13.88,374.47,2879,0
61.22,5.75,0.13,12.73,410.18,1516,0
74.11,5.85,1.55,15.34,367.66,1038,0
55.73,5.7,4.34,10.23,393.92,2131,0
62.16,5.15,-1.11,11.03,380.03,3277,0
59.18,5.14,4.78,12.42,379.09,2871,0
65.98,4.66,3.78,13.76,397.65,3896,0
92.78,6.75,4.97,12.36,401.94,2984,1
42.59,5.51,2.7,14.57,376.41,1831,0
73.24,5.34,-0.09,10.68,391.99,1372,0
45.65,4.85,3.65,9.72,385.46,1852,0
59.34,7.55,4.91,12.62,380.11,2056,1
78.07,4.75,4.39,11.85,383.06,3587,0
65.77,5.2,2.01,13.09,369.68,1791,0
52.07,5.79,3.13,11.95,375.41,4265,1
56.42,5.92,2.2,11.32,371.29,1357,0
73.16,6.17,1.77,11.85,393.52,531,0
56.24,6.77,4.43,12.06,378.57,4365,1
67.6,5.85,1.2,11.39,360.53,2183,0
65.55,4.76,1.66,11.59,369.15,4005,1
57.18,5.32,1.34,11.19,332.01,4454,1
90.73,5.72,0.76,13.71,372.58,2398,1
72.61,6.95,3.22,12.39,380.56,2204,1
40.7,4.52,4.74,16.51,377.96,1284,0
67.24,6.34,2.72,12.32,409.7,536,0
57.06,5.63,0.74,10.9,388.62,4425,1
75.23,6.09,4.26,17.34,387.96,4815,1
55.49,5.43,5.53,12.83,355.35,2499,0
63.62,4.91,2.03,13.98,374.53,721,0
71.06,6.03,2.28,13.18,372.7,3813,0
75.39,5.96,3.77,13.25,368.21,734,0
50.6,6.18,5.43,13.07,368.0,3112,0
60.99,5.49,2.22,9.8,352.88,2093,0
59.3,5.08,1.0,12.74,360.86,2775,0
57.16,4.41,3.95,9.35,393.11,2440,0
86.19,6.07,4.2,11.65,377.86,1509,1
69.86,5.8,3.01,10.55,372.4,3916,0
49.87,4.82,2.16,12.71,379.92,928,0
76.01,5.12,4.49,12.67,397.51,2381,0
90.47,5.17,3.79,12.96,380.06,636,1
77.39,4.46,1.85,12.57,388.11,1502,0
46.77,4.93,3.07,10.79,367.3,904,0
59.19,4.71,0.97,11.48,370.72,3381,0
80.2,5.21,4.03,13.84,385.31,951,0
56.51,4.98,2.61,14.14,408.39,2325,0
70.33,4.36,2.35,9.71,401.45,655,0
74.3,6.92,2.95,8.94,388.74,3243,1
53.88,6.38,3.06,10.55,382.27,4423,1
64.29,4.95,4.34,14.09,401.02,1964,0
26.1,5.69,3.89,14.43,391.92,4449,1
52.71,5.79,2.77,10.15,345.6,2194,0
61.97,6.33,4.15,12.61,364.19,3578,0
50.03,4.93,3.6,15.67,385.07,3030,0
84.59,6.26,2.36,12.83,353.2,2727,0
47.84,5.12,2.81,14.84,366.54,353,0
59.72,4.56,2.78,14.0,369.5,3620,0
66.57,6.01,3.76,10.18,376.16,158,0
82.3,6.4,2.45,11.62,375.69,3802,0
47.77,7.31,2.41,12.07,375.66,1821,1
78.96,4.66,5.95,12.21,392.38,2707,0
65.12,5.99,4.41,13.83,376.02,364,0
53.22,5.21,1.86,12.82,374.23,1807,0
70.55,6.05,3.86,6.13,359.76,3314,0
67.39,4.47,3.18,9.37,395.37,2393,0
57.8,4.62,3.59,7.63,369.93,3387,0
65.84,4.96,3.21,12.35,363.69,2584,0
60.38,5.56,4.78,12.48,383.2,2835,0
66.36,5.05,3.52,12.57,368.5,2623,0
72.95,5.96,2.91,10.08,372.11,3555,0
84.03,6.22,4.56,13.35,383.88,1037,0
50.15,5.92,3.35,13.43,375.1,977,0
90.6,6.63,3.18,9.49,414.67,2804,1
41.57,5.79,3.47,9.07,378.88,646,0
63.18,4.65,2.86,12.0,389.27,2562,0
72.06,6.45,3.01,15.58,350.87,3303,0
68.37,5.08,2.12,15.4,367.09,4593,1
57.53,6.14,1.87,13.13,363.7,3678,0
62.5,6.6,1.5,10.54,365.68,3731,1
59.08,5.82,0.91,13.77,386.23,2315,0
57.93,4.45,1.68,11.1,395.53,3946,0
75.2,4.86,2.74,10.46,385.17,329,0
69.28,6.43,3.15,7.71,376.6,4898,1
56.69,5.38,2.59,12.2,370.54,1527,0
75.8,5.56,-0.53,10.74,396.7,1799,0
68.69,6.03,5.36,12.19,411.07,4069,1
74.75,5.99,4.63,7.4,382.03,3165,0
72.56,5.7,3.67,12.34,394.09,2245,0
55.05,5.35,5.86,7.14,385.15,106,0
58.28,5.28,1.53,14.18,391.33,4372,1
73.97,6.1,5.83,13.04,362.53,1329,0
72.32,5.89,1.55,11.44,372.68,4494,1
64.75,5.32,3.36,13.13,385.93,1923,0
66.41,6.26,1.09,10.04,398.19,4084,1
80.33,5.41,3.02,12.14,367.73,2376,0
57.9,4.9,3.58,13.59,349.5,3043,0
71.57,4.97,2.77,5.81,372.53,730,0
62.57,4.81,4.07,11.11,395.15,369,0
62.39,5.31,3.15,11.95,356.24,4276,1
78.19,6.36,2.22,11.61,362.35,3871,0
74.9,4.94,2.15,14.91,382.34,600,0
74.76,5.63,4.22,9.75,378.26,2850,0
80.67,5.04,2.02,10.76,388.92,1412,0
65.25,5.32,4.37,8.17,361.57,2253,0
73.18,4.44,4.83,15.02,375.13,4836,1
61.28,5.35,0.5,11.51,397.93,708,0
68.89,5.36,4.7,11.12,362.11,3143,0
63.44,5.88,6.09,11.9,402.15,1763,1
66.16,5.66,3.38,13.27,363.99,3394,0
72.14,4.66,3.9,12.69,392.74,2097,0
55.18,6.26,4.56,17.3,374.41,2529,0
90.11,5.65,2.59,12.91,362.83,4299,1
52.93,5.64,3.27,11.07,372.55,2811,0
50.43,5.49,1.03,10.88,388.17,3285,0
78.9,5.14,3.21,11.21,379.9,1631,0
74.5,5.65,3.75,9.0,396.78,4316,1
72.49,5.83,3.77,12.08,401.54,3806,0
72.54,4.28,4.6,13.57,362.25,3174,0
64.85,5.12,1.84,10.77,361.16,4602,1
54.23,5.32,2.2,10.39,360.43,775,0
65.91,5.68,5.84,15.03,366.51,1754,0
56.87,6.34,2.77,9.15,396.56,4627,1
76.7,4.96,3.3,7.86,388.41,4256,1
63.24,5.15,2.9,9.69,371.82,3644,0
55.09,5.14,1.77,8.92,379.83,3918,0
61.14,4.94,5.44,12.77,401.06,3543,0
69.96,5.26,2.21,11.28,408.62,1147,0
58.24,6.04,1.31,11.56,383.89,2553,0
55.13,4.76,2.32,14.31,340.11,1431,0
67.92,5.8,-0.0,10.62,384.46,4182,1
67.94,4.31,2.02,13.55,394.02,2760,0
58.92,5.11,1.55,15.02,383.37,2362,0
59.35,5.27,3.93,11.09,390.9,4457,1
67.78,6.67,1.99,13.47,385.36,863,1
47.62,5.31,4.33,11.52,361.48,2467,0
48.11,3.96,5.1,13.85,366.71,3508,0
56.38,4.1,4.17,8.86,375.18,1784,0
62.44,5.52,2.68,8.71,395.98,4564,1
68.73,5.93,3.21,11.22,368.51,969,0
82.7,5.76,0.71,10.22,386.84,2833,0
75.29,5.62,2.8,10.97,384.56,1013,0
63.08,6.31,1.71,11.56,403.79,3231,0
64.77,5.12,4.04,13.44,379.37,1730,0
52.97,6.13,6.86,11.18,353.68,642,1
64.78,4.36,3.75,10.35,389.7,2303,0
61.54,4.87,0.01,11.3,412.07,3035,0
68.87,4.24,2.46,10.46,390.69,851,0
55.07,5.31,3.18,10.13,368.19,2211,0
71.23,5.47,3.13,8.77,363.77,520,0
83.39,5.58,1.9,12.14,365.71,2470,0
63.69,5.54,3.37,10.86,410.05,1586,0
69.82,4.85,1.14,13.93,375.09,646,0
73.28,5.37,1.58,9.11,370.06,2657,0
60.19,4.45,3.97,10.92,377.62,1671,0
67.69,6.45,1.48,15.63,375.25,553,0
65.15,5.29,3.81,10.12,403.51,2791,0
66.17,5.16,0.95,11.53,364.78,1857,0
55.72,6.61,5.65,9.57,397.71,4874,1
65.29,4.63,1.84,9.3,381.83,4469,1
70.98,4.71,2.66,15.09,398.11,159,0
82.41,4.73,3.5,12.34,403.74,4537,1
76.51,5.45,2.15,12.27,381.27,1517,0
90.84,5.8,3.22,8.61,375.27,2260,1
55.79,6.02,3.86,12.72,380.99,1438,0
75.47,7.3,4.44,14.31,378.58,566,1
67.2,3.93,4.19,14.3,355.15,2410,0
91.28,5.93,2.74,13.34,403.29,2571,1
55.3,5.11,2.78,9.74,383.69,819,0
54.92,5.09,6.52,12.63,362.55,1335,1
57.81,5.07,4.42,13.34,348.99,662,0
39.51,4.86,1.62,8.41,345.09,1082,0
58.69,6.68,3.15,9.76,391.56,3066,1
55.89,6.09,2.5,13.78,370.72,2435,0
66.8,5.52,2.8,13.75,373.18,4620,1
69.1,6.45,1.16,8.9,387.32,4749,1
87.51,4.44,2.38,13.59,372.26,4954,1
76.41,4.57,5.72,12.19,388.2,1830,0
58.08,3.98,3.87,13.56,381.43,4439,1
54.22,5.01,-0.74,10.73,378.74,3147,0
70.9,5.61,4.83,13.29,356.41,1457,0
49.16,5.57,4.63,13.69,367.7,2475,0
86.98,5.6,2.46,11.3,389.04,2862,1
79.15,4.51,4.08,12.04,369.77,1885,0
59.37,6.06,1.71,10.7,398.08,2062,0
44.44,5.67,2.29,15.3,415.2,1288,0
81.25,6.01,5.25,11.76,389.85,2778,0
63.63,4.18,2.59,10.16,402.39,3107,0
79.85,5.72,0.2,10.57,390.81,3223,0
45.87,4.67,2.91,12.25,371.99,3243,0
57.81,5.22,2.88,13.51,383.0,2900,0
65.06,5.87,4.8,9.33,410.2,423,0
65.56,5.56,3.02,15.7,372.15,3783,0
59.6,4.9,2.37,12.62,364.41,2302,0
72.47,5.5,4.57,12.93,362.99,1894,0
52.19,4.43,3.18,11.81,376.74,2348,0
63.29,6.31,1.87,12.04,364.95,2442,0
66.44,5.36,4.73,11.7,405.11,3493,0
71.17,6.28,3.29,14.04,383.25,3500,0
73.54,5.13,3.0,11.98,394.58,2075,0
51.5,5.13,3.27,13.53,375.52,3145,0
46.59,4.97,1.39,11.13,362.9,1407,0
80.33,6.11,2.21,12.39,360.36,1555,0
68.99,5.0,3.01,10.39,366.38,1062,0
56.02,5.95,2.71,14.43,385.21,1817,0
83.61,5.23,4.91,10.33,387.8,2529,0
66.39,4.12,3.33,11.35,389.05,2639,0
79.15,5.1,4.28,11.37,357.67,3718,0
65.81,4.67,3.01,11.29,379.99,2478,0
89.73,5.52,4.58,13.44,364.61,974,1
86.06,4.67,3.6,11.37,386.02,3770,1
62.01,6.15,3.02,14.79,387.19,2305,0
76.66,5.44,2.98,10.36,362.42,4627,1
72.74,5.38,1.57,12.34,394.52,1239,0
81.42,5.96,3.76,10.45,415.08,3691,0
53.42,6.17,2.94,12.84,392.52,4814,1
73.23,5.49,2.25,11.97,377.56,4814,1
77.7,4.96,4.66,11.69,375.25,2773,0
43.9,4.26,1.12,14.38,376.86,4630,1
50.8,5.02,2.37,10.69,368.59,1645,0
40.53,5.07,4.54,13.17,383.79,2943,0
61.77,5.57,3.47,10.46,362.92,4767,1
73.61,5.26,2.93,12.23,351.65,365,0
83.03,5.98,3.38,9.61,383.29,201,0
65.89,5.07,3.27,10.67,380.32,2856,0
84.54,5.46,0.73,11.84,371.43,4073,1
48.44,6.33,2.48,15.63,360.76,1634,0
44.56,5.74,5.42,12.2,384.35,2369,0
64.33,5.46,2.01,15.31,365.15,3062,0
69.61,5.08,2.52,12.44,377.92,2583,0
64.61,5.06,2.19,11.23,406.47,1313,0
40.19,4.9,2.87,15.08,389.77,4835,1
63.93,5.12,2.13,12.87,359.46,3092,0
49.35,6.03,3.73,10.71,360.88,4529,1
73.04,5.34,3.3,12.94,382.28,1006,0
69.4,4.56,4.16,11.41,359.37,1681,0
53.72,6.74,1.42,8.02,349.97,1704,1
58.83,5.72,2.49,13.87,387.99,669,0
52.29,4.52,2.66,14.19,384.81,1645,0
64.25,5.19,3.68,15.68,386.76,1008,0
76.46,5.58,1.81,12.84,383.95,4562,1
53.17,6.69,4.37,11.5,379.02,4183,1
71.05,4.72,4.78,13.67,370.07,3440,0
58.64,6.18,1.52,13.7,387.74,2525,0
55.49,6.48,2.26,15.28,402.95,3318,0
63.72,5.06,2.2,11.91,372.48,2265,0
52.58,5.31,6.95,11.67,364.69,1113,1
58.36,4.77,2.36,10.57,362.97,3306,0
50.63,5.36,5.52,13.07,367.0,1972,0
88.58,5.47,1.1,8.9,383.04,305,1
65.42,5.96,1.52,13.55,347.91,915,0
56.6,6.26,1.97,13.18,386.59,165,0
67.57,4.98,1.73,13.17,389.66,4145,1
63.65,4.12,2.6,12.28,353.03,2151,0
62.35,5.49,1.94,15.07,365.31,102,0
72.37,5.71,1.77,13.74,381.2,424,0
74.09,5.67,4.74,10.79,377.85,704,0
58.63,5.27,4.84,10.82,387.79,4991,1
58.09,5.59,4.42,10.24,377.88,2682,0
61.7,6.56,3.79,13.1,398.97,2746,1
37.38,5.77,3.14,10.0,375.18,3222,0
46.82,5.24,2.25,14.17,365.25,3214,0
81.4,5.15,1.57,14.65,364.05,3375,0
84.74,5.38,3.54,10.24,391.03,446,0
62.01,6.65,1.24,11.63,380.44,4254,1
71.92,5.37,1.51,12.03,389.51,2827,0
68.74,5.49,4.73,13.77,389.2,2658,0
101.95,5.16,5.85,15.22,349.7,3489,1
78.43,6.27,3.59,8.63,362.9,3543,0
63.46,6.87,4.66,11.36,364.69,2354,1
53.53,5.82,2.63,11.47,367.76,210,0
45.72,5.56,0.99,9.2,373.69,122,0
67.44,5.53,3.92,11.03,394.99,3916,0
55.92,3.83,3.85,12.86,397.98,2063,0
47.93,6.02,3.11,11.44,375.61,4982,1
57.24,5.59,2.64,8.91,376.23,1807,0
52.02,5.8,4.44,17.75,369.42,3182,0
85.25,5.0,1.52,12.53,381.34,3915,1
75.58,5.23,1.84,12.22,383.04,846,0
64.9,5.21,1.49,9.8,392.1,614,0
82.76,6.22,3.13,12.52,391.98,3139,0
65.93,5.23,1.37,11.67,345.47,2956,0
54.66,6.96,1.97,8.22,377.71,2441,1
83.28,5.8,1.94,9.86,400.76,424,0
71.47,4.61,2.61,13.59,373.43,3462,0
52.55,5.41,0.77,15.89,397.09,3590,0
62.72,5.04,3.13,12.73,375.4,2607,0
54.49,3.96,4.87,14.21,382.62,3278,0
48.41,6.62,3.2,11.69,362.95,3424,1
76.11,5.99,5.31,11.83,363.51,1662,0
87.91,5.87,5.0,14.18,390.88,1644,1
48.22,5.62,4.17,15.33,393.23,3329,0
71.76,4.53,3.11,14.6,380.4,625,0
57.19,5.16,3.03,9.87,361.59,4733,1
59.15,6.09,4.15,11.87,380.66,1849,0
57.89,4.76,2.41,12.56,398.86,4822,1
54.63,3.73,0.18,11.48,406.14,940,0
65.58,5.34,3.74,12.78,375.25,2365,0
55.03,5.4,1.3,13.64,355.1,4788,1
68.25,5.59,1.56,14.01,392.61,812,0
64.4,6.01,3.0,15.37,375.86,166,0
62.13,5.95,2.86,11.34,394.15,860,0
54.11,5.68,0.88,9.27,384.22,564,0
58.08,6.34,3.25,12.72,366.75,4291,1
74.06,4.44,4.45,15.77,380.87,4603,1
71.01,5.85,1.31,11.05,399.63,3289,0
53.27,5.94,4.91,13.37,377.76,4999,1
66.19,4.63,0.66,13.39,364.48,1567,0
74.02,4.45,6.18,12.38,356.17,4952,1
44.97,4.98,2.38,12.01,368.42,2860,0
71.52,5.04,3.22,10.15,373.85,4556,1
57.05,6.03,0.16,7.44,392.3,1493,0
71.85,5.07,2.91,9.78,363.19,3793,0
55.84,4.9,3.34,11.22,403.31,4407,1
43.34,5.07,2.87,14.19,359.94,1799,0
45.47,6.28,2.16,11.79,414.97,1220,0
65.58,5.51,1.58,10.96,405.88,1671,0
68.12,5.37,4.7,10.22,382.12,4973,1
54.15,5.42,3.05,13.31,355.28,828,0
72.66,6.4,5.31,14.72,379.17,3604,0
45.06,4.98,2.21,14.13,374.2,715,0
64.21,6.42,2.35,13.21,360.89,470,0
50.47,5.65,4.22,9.05,384.37,3564,0
57.18,5.39,0.57,11.3,367.65,4827,1
65.57,7.25,1.18,15.89,369.28,4956,1
54.68,4.76,4.65,14.24,376.94,1047,0
60.39,5.25,1.24,8.92,371.38,1219,0
77.08,4.64,0.27,11.89,411.17,1555,0
58.08,6.17,5.8,12.73,371.96,2648,0
75.03,6.68,0.91,10.48,386.61,2522,1
51.44,6.67,3.28,7.38,382.18,3711,1
71.36,6.36,3.1,12.2,385.29,2646,0
82.3,5.36,-1.22,10.42,386.44,1440,0
35.34,5.24,2.6,10.43,393.22,3945,0
55.44,4.33,3.67,11.29,384.0,1618,0
71.92,6.93,3.53,11.73,383.37,2059,1
62.56,5.83,4.36,11.98,380.88,810,0
69.45,5.16,2.42,10.23,377.92,4670,1
57.75,6.43,4.07,11.56,366.32,673,0
66.04,4.82,1.97,8.49,379.09,2943,0
63.13,5.78,0.88,12.62,383.62,607,0
79.01,5.38,1.05,6.29,386.03,2322,0
68.05,5.95,0.81,11.42,382.7,4887,1
69.05,5.46,4.51,13.84,376.51,1394,0
60.06,4.48,0.73,9.88,379.14,1797,0
59.15,5.55,3.41,13.43,371.7,887,0
59.81,6.23,2.6,14.31,384.7,3889,0
69.73,5.48,2.85,5.38,376.68,4767,1
59.95,6.04,5.05,11.7,382.71,2333,0
68.48,4.77,2.34,6.25,395.01,686,0
